Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,C19702
C2,0603,1,10uF,C19702
C10,0402,1,1uF,C52923
C13,0402,1,1uF,C52923
C11,0402,1,100nF,C1525
C12,0402,1,100nF,C1525
C14,0402,1,100nF,C1525
C15,0402,1,15pF,C1548
C16,0402,1,15pF,C1548
C17,0402,1,0.1uF,C1525
C19,0402,1,0.1uF,C1525
C20,0402,1,0.1uF,C1525
C18,0805,1,22uF,C15850
C21,0402,1,0.47uF,C105883
C22,0402,1,0.47uF,C105883
C23,0402,1,0.47uF,C105883
C24,0402,1,0.47uF,C105883
C3,0402,1,100nF,C1525
C4,0402,1,100nF,C1525
C5,0402,1,100nF,C1525
C6,0402,1,100nF,C1525
C7,0402,1,100nF,C1525
C8,0402,1,100nF,C1525
C9,0402,1,100nF,C1525
D1,0603,1,LED,C2286
D2,0603,1,LED,C2286
D3,0603,1,LED,C2286
D4,0603,1,LED,C2286
D5,0603,1,LED,C2286
D6,0603,1,LED,C2286
D7,0603,1,LED,C2286
D8,0603,1,LED,C2286
D9,0603,1,LED,C2286
D10,0603,1,LED,C2286
D11,0603,1,LED,C2286
D12,0603,1,LED,C2286
D13,0603,1,LED,C2286
D14,0603,1,LED,C2286
D15,0603,1,LED,C2286
D16,0603,1,LED,C2286
D17,0603,1,LED,C2286
D18,0603,1,LED,C2286
D19,0603,1,LED,C2286
D20,0603,1,LED,C2286
D21,0603,1,LED,C2286
D22,0603,1,LED,C2286
D23,0603,1,LED,C2286
D24,0603,1,LED,C2286
D25,0603,1,LED,C2286
D26,0603,1,LED,C2286
D27,0603,1,LED,C2286
D28,0603,1,LED,C2286
D29,0603,1,LED,C2286
D30,0603,1,LED,C2286
D31,0603,1,LED,C2286
D32,0603,1,LED,C2286
D33,0603,1,LED,C2286
D34,0603,1,LED,C2286
D35,0603,1,LED,C2286
D36,0603,1,LED,C2286
D37,0603,1,LED,C2286
D38,0603,1,LED,C2286
D39,0603,1,LED,C2286
D40,0603,1,LED,C2286
D41,0603,1,LED,C2286
D42,0603,1,LED,C2286
D43,0603,1,LED,C2286
D44,0603,1,LED,C2286
D45,0603,1,LED,C2286
D46,0603,1,LED,C2286
D47,0603,1,LED,C2286
D48,0603,1,LED,C2286
D49,0603,1,LED,C2286
D50,0603,1,LED,C2286
D51,0603,1,LED,C2286
D52,0603,1,LED,C2286
D53,0603,1,LED,C2286
D54,0603,1,LED,C2286
D55,0603,1,LED,C2286
D56,0603,1,LED,C2286
D57,0603,1,LED,C2286
D58,0603,1,LED,C2286
D59,0603,1,LED,C2286
D60,0603,1,LED,C2286
D61,0603,1,LED,C2286
D62,0603,1,LED,C2286
D63,0603,1,LED,C2286
D64,0603,1,LED,C2286
D65,0603,1,LED,C2286
D66,0603,1,LED,C2286
D67,0603,1,LED,C2286
D68,0603,1,LED,C2286
D69,0603,1,LED,C2286
D70,0603,1,LED,C2286
D71,0603,1,LED,C2286
D72,0603,1,LED,C2286
D73,0603,1,LED,C2286
D74,0603,1,LED,C2286
D75,0603,1,LED,C2286
D76,0603,1,LED,C2286
D77,0603,1,LED,C2286
D78,0603,1,LED,C2286
D79,0603,1,LED,C2286
D80,0603,1,LED,C2286
D81,0603,1,LED,C2286
D82,0603,1,LED,C2286
D83,0603,1,LED,C2286
D84,0603,1,LED,C2286
D85,0603,1,LED,C2286
D86,0603,1,LED,C2286
D87,0603,1,LED,C2286
D88,0603,1,LED,C2286
D89,0603,1,LED,C2286
D90,0603,1,LED,C2286
D91,0603,1,LED,C2286
D92,0603,1,LED,C2286
D93,0603,1,LED,C2286
D94,0603,1,LED,C2286
D95,0603,1,LED,C2286
D96,0603,1,LED,C2286
D97,0603,1,LED,C2286
D98,0603,1,LED,C2286
D99,0603,1,LED,C2286
D100,0603,1,LED,C2286
D101,0603,1,LED,C2286
D102,0603,1,LED,C2286
D103,0603,1,LED,C2286
D104,0603,1,LED,C2286
D105,0603,1,LED,C2286
D106,0603,1,LED,C2286
D107,0603,1,LED,C2286
D108,0603,1,LED,C2286
D109,0603,1,LED,C2286
D110,0603,1,LED,C2286
D111,0603,1,LED,C2286
D112,0603,1,LED,C2286
D113,0603,1,LED,C2286
D114,0603,1,LED,C2286
D115,0603,1,LED,C2286
D116,0603,1,LED,C2286
D117,0603,1,LED,C2286
D118,0603,1,LED,C2286
D119,0603,1,LED,C2286
D120,0603,1,LED,C2286
D121,0603,1,LED,C2286
D122,0603,1,LED,C2286
D123,0603,1,LED,C2286
D124,0603,1,LED,C2286
D125,0603,1,LED,C2286
D126,0603,1,LED,C2286
D127,0603,1,LED,C2286
D128,0603,1,LED,C2286
D129,0603,1,LED,C2286
D130,0603,1,LED,C2286
D131,0603,1,LED,C2286
D132,0603,1,LED,C2286
D133,0603,1,LED,C2286
D134,0603,1,LED,C2286
D135,0603,1,LED,C2286
D136,0603,1,LED,C2286
D137,0603,1,LED,C2286
D138,0603,1,LED,C2286
D139,0603,1,LED,C2286
D140,0603,1,LED,C2286
D141,0603,1,LED,C2286
D142,0603,1,LED,C2286
D143,0603,1,LED,C2286
D144,0603,1,LED,C2286
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J3,PinHeader_2x06_P2.54mm_Vertical,1,Conn_01x11_Pin,
J4,PinHeader_2x06_P2.54mm_Vertical,1,Conn_01x11_Pin,
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
R1,0402,1,5.1k,C25905
R2,0402,1,5.1k,C25905
R10,0402,1,100k,C25741
R6,0402,1,100k,C25741
R7,0402,1,100k,C25741
R15,0402,1,1k,C11702
R3,0402,1,27.4,C25100
R4,0402,1,27.4,C25100
R5,0402,1,20k,C25765
R8,0402,1,4.7k,C25900
R9,0402,1,4.7k,C25900
SW1,SW_SPST_SKQG_WithoutStem,1,Switch,C318884
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C6186
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U4,QFN-40-1EP_5x5mm_P0.4mm_EP3.8x3.8mm,1,IS31FL3737,C506254
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
